Question,Answer1,Answer2,Answer3,Answer4,Correct Answer
「已認股本」於資產負債表中應列為：,非流動資產,資本公積,法定資本,權益減項,3
「不同會計人員一致認為所選用的會計方法業已適當地運用，並未發生錯誤或偏差」是財務資訊的哪一項品質特性？,可驗證性,攸關性,重大性,可比性,1
「不要把所有的雞蛋放在同一個籃子裡」的投資策略可以降低何種風險？,非系統風險,系統風險,利率風險,景氣循環風險,2
「內線交易」是指公司內部人在實際知悉「重大影響股票價格消息」後，且在該消息明確後、未公開或公開後多久內進行交易？,6小時,18小時,3個營業日,當天收盤前,2
「內線交易之重大消息」不包含？,公司生產線嚴重減產或部分、全部停工之消息,涉及該證券市場供求、公開收購之消息,公司處分重大資產,加發員工子女教育補助金之消息,4
「公司法」所稱之股份有限公司，提出法定盈餘公積分配前，必須先完成下列何事項？,先償還債務,先彌補公司虧損,先分派股東股息,先分派董監紅利,2
「公司法」規定，以募集設立方式公開招募股份時，發起人所認股份不得少於第一次發行股份之若干？,二分之一,三分之一,四分之一,五分之一,3
「相同企業不同期間或不同企業相同期間的類似資訊能夠互相比較對資訊使用者才有意義」，係指會計資訊的品質特性之：,完整性,攸關性,可行性,可比性,4
「財務報導與交易事項完全一致或吻合」是財務資訊的哪一項品質特性？,重大性,攸關性,可瞭解性,忠實表述,4
「控制環境」係公司設計及執行內部控制制度之基礎，下列敘述何者正確？,包括公司之誠信與道德價值,包括董事會及監察人治理監督責任,建立董事會與經理人內部行為準則,其他3個選項皆是,4
「發行人募集與發行有價證券處理準則」所稱申報屆滿一定營業日即可生效之「營業日」係何所指？,政府機關營業日,證券市場交易日,主辦承銷商預定承銷日,金融機關結算日,2
「禁止內線交易」的目的是為了維護證券市場交易的公平性，所以是規範在？,公平交易法,刑事訴訟法,證券交易法,其他3個選項皆是,3
「監視業務督導會報」可採取的處置措施，包括？,款券預收、管制撮合、限制證券商申報買賣金額,暫停信用交易,通知證券商增繳交割結算基金,其他3個選項皆是,4
「證券交易法」中操縱行為之「散布流言」罪，如某人甲利用記者行諸文字報導，記者並未求證即將之報導，則：,甲仍構成「散布流言」罪,甲不構成「散布流言」罪,記者構成「散布流言」罪,並無不法行為可言,1
「證券交易法」所訂公開說明書之編製義務人為何？,證券承銷商,簽證會計師,證券主管機關,發行人,4
「證券交易法」所稱之主管機關為：,金融監督管理委員會,國家發展委員會,經濟部,財政部,1
「證券交易法」所稱之主管機關為何?,金融監督管理委員會,國家發展委員會,經濟部,財政部,1
「證券交易法」所稱發行人，指募集及發行有價證券之公司，或募集有價證券之何人？,股東,發起人,董事,董事長,2
「證券交易法」所稱募集之主體為何？,股份或公司債,發行人,特定人或不特定人,認股人或應募人,2
「證券交易法」所稱募集及發行有價證券之公司或募集有價證券之發起人，稱之為：,應募人,發行人,委託人,認股人,2
「證券交易法」所謂「利用他人名義持有股票」，有關具備之要件下列何者錯誤？,直接或間接提供股票與他人或提供資金與他人購買股票,對該他人所持有之股票，具有管理、使用或處分之權益,受贈他人所持有之股票,該他人所持有股票之利益或損失之全部或一部歸屬於本人,3
「證券交易法」所謂之公開說明書，其應記載事項由何單位訂定之？,證券商業同業公會,金融監督管理委員會,臺灣證券交易所,證券承銷商,2
「證券交易法」所謂發行，係指發行人於募集後，依法定方式所為之何種行為？,向主管機關申請登記,交付公開說明書,製作有價證券,製作並交付有價證券,4
「證券交易法」第21條規定之損害賠償請求權，自募集、發行或買賣之日起，逾幾年不行使而消滅？,1年,3年,5年,10年,3
「證券交易法」第一百五十七條之一「內線交易」構成要件，指該消息明確後，未公開前或公開後多少小時內，不得買入或賣出？,18小時,36小時,24小時,48小時,1
「證券交易法」第一百五十七條之一「內線交易」構成要件，指該消息明確後，未公開前或公開後多少小時內，不得買入或賣出？,十八小時,三十六小時,二十四小時,四十八小時,1
「證券交易法」第一百五十七條之一所定內部人交易之民事賠償責任，其賠償對象為下列何者？,該內線交易行為之相對人,因該股票之交易而受有損害之人,就該股票有交易行為之善意投資人,當日就該股票善意從事相反買賣之人,4
「證券交易法」第一百五十七條之一所定內部人交易之民事賠償責任，其賠償對象為當日善意從事相反買賣之人，此所謂「善意」，係指下列何　者？,不知有內線交易禁止規定,不知從事交易者為該股票發行公司之內部人,不知該重大影響股票價格之消息,不知該消息為可能影響公司訴訟勝負之消息,3
「證券交易法」第一百五十七條之一所定內部人交易之民事賠償責任，其賠償對象為當日善意從事相反買賣之人，此所謂「善意」，係指下列何者？,不知有內線交易禁止規定,不知從事交易者為該股票發行公司之內部人,不知該重大影響股票價格之消息,不知該消息為可能影響公司訴訟勝負之消息,3
「證券交易法」第一百五十七條之一所謂「基於職業獲悉消息之人」不包括下列何者？,獲悉死者為某龍頭電子公司董事長之救護車司機甲,因路過得悉公司董事長車禍身亡之乙,因紀錄得悉某上市公司將因違背環境保護法被罰停工半年之法院書記官丙,因聽到董事長及總經理談話得知股利將增加一倍之董事長特別助理丁,2
「證券交易法」第一百五十七條之一明定之內線消息，狹義而言是指下列何者？,有重大影響公司股票價格之消息,有重大影響公司經營策略之消息,金融監督管理委員會之重大政策消息,大型研究機構發布經濟數據,1
「證券交易法」第一百五十七條之一第五項所稱涉及公司之財務、業務，對其股票價格有重大影響，或對正當投資人之投資決定有重要影響之消息，係指下列何種消息？,公司將進行私募證券籌資,公司董事受停止職權之假處分裁定，致董事會無法行使職權者,公司停止公開收購有價證券,其他3個選項皆是,4
「證券交易法」規範何種型態之公司？,有限公司,無限公司,兩合公司,股份有限公司,4
「證券交易法」對「短線交易」期間之定義，為取得公司上市股票幾個月內再行賣出，因而獲有利益之行為？,12個月內,6個月內,3個月內,1個月內,2
「證券交易法」對「短線交易」期間之定義，為取得公司上市股票幾個月內再行賣出，因而獲有利益之行為？,十二個月內,六個月內,三個月內,一個月內,2
「證券交易法」對足以影響市場秩序行為之違約不履行交割的法定刑責為：,一年以上七年以下有期徒刑,三年以下有期徒刑,七年以下有期徒刑,三年以上十年以下有期徒刑,4
「證券交易法」對足以影響市場秩序行為之違約不履行交割的法定刑責為：,一年以上七年以下有期徒刑,三年以下有期徒刑,五年以下有期徒刑,三年以上十年以下有期徒刑,4
「證券交易法」與「公司法」之適用關係為：,「公司法」所指之公司為股份有限公司,「公司法」優先適用,「證券交易法」為「公司法」之特別法,「證券交易法」規範範圍及於合夥契約,3
